id,full_name,last_name,constituencies,groups
256912,Rima HASSAN,HASSAN,"[{""party"": ""La France Insoumise"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""LFI""}]","[{""role"": ""Member"", ""Organization"": ""The Left group in the European Parliament - GUE/NGL"", ""groupid"": ""GUE/NGL"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256918,Céline IMART,IMART,"[{""party"": ""Les R\u00e9publicains"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""LR""}]","[{""role"": ""Member"", ""Organization"": ""Group of the European People's Party (Christian Democrats)"", ""groupid"": ""PPE"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256894,Sylvie JOSSERAND,JOSSERAND,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""2024-09-26T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""2024-09-26T00:00:00""}]"
256898,Pierre JOUVET,JOUVET,"[{""party"": ""Parti socialiste"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""PS""}]","[{""role"": ""Member"", ""Organization"": ""Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"", ""groupid"": ""S&D"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256908,François KALFON,KALFON,"[{""party"": ""Parti socialiste"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""PS""}]","[{""role"": ""Member"", ""Organization"": ""Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"", ""groupid"": ""S&D"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256924,Sarah KNAFO,KNAFO,"[{""party"": ""Reconqu\u00eate!"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""REC""}]","[{""role"": ""Vice-Chair"", ""Organization"": ""Europe of Sovereign Nations Group"", ""groupid"": ""ENS"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256899,Murielle LAURENT,LAURENT,"[{""party"": ""Parti socialiste"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""PS""}]","[{""role"": ""Member"", ""Organization"": ""Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"", ""groupid"": ""S&D"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256895,Julien LEONARDELLI,LEONARDELLI,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256920,Isabelle LE CALLENNEC,LE CALLENNEC,"[{""party"": ""Les R\u00e9publicains"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""LR""}]","[{""role"": ""Member"", ""Organization"": ""Group of the European People's Party (Christian Democrats)"", ""groupid"": ""PPE"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
256872,Fabrice LEGGERI,LEGGERI,"[{""party"": ""Rassemblement national"", ""country"": ""France"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00"", ""term"": 10, ""partyid"": ""RN""}]","[{""role"": ""Member"", ""Organization"": ""Patriots for Europe Group"", ""groupid"": ""P4E"", ""start"": ""2024-07-16T00:00:00"", ""end"": ""9999-12-31T00:00:00""}]"
