reference,date,title,type,subject,status,url
2020/2115(INI),2020-09-17,Connectivité et relations UE-Asie,INI,"[""3.20.15"", ""6.40.08""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2115(INI)&l=fr
2022/2170(INI),2022-11-24,Création d'emplois: transition juste et investissement dans l'impact,INI,"[""4.15""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/2170(INI)&l=fr
2021/0029(NLE),2021-02-10,Accord UE/Australie: modification des concessions pour l’ensemble des contingents tarifaires de la liste CLXXV de l’UE à la suite du retrait du Royaume-Uni de l’Union européenne,NLE,"[""Australie"", ""Pays"", ""6.20.04"", ""6.20.01"", ""6.40.11""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/0029(NLE)&l=fr
2021/2741(RSP),2021-06-08,"Résolution sur la répression systématique en Biélorussie et ses conséquences pour la sécurité européenne, à la suite des enlèvements perpétrés à bord d’un avion civil de l’Union intercepté par les autorités biélorusses",RSP,"[]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/2741(RSP)&l=fr
2023/0128(COD),2023-04-27,Certificat complémentaire de protection pour les produits phytopharmaceutiques. Refonte,COD,"[""3.10.09.02"", ""3.50.16""]",En attente de la position du Conseil en 1ère lecture,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/0128(COD)&l=fr
2023/0315(COD),2023-09-05,Associations européennes transfrontalières,COD,"[""4.10.16"", ""3.45.07""]",En attente de la position du Conseil en 1ère lecture,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/0315(COD)&l=fr
2020/0151(COD),2020-07-24,"Cadre général pour la titrisation et cadre spécifique pour les titrisations simples, transparentes et standardisées, afin de favoriser la reprise après la pandémie de COVID-19",COD,"[""2.50.05"", ""2.50.03"", ""2.50.10"", ""2.50.08""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/0151(COD)&l=fr
2019/2088(DEC),2019-06-27,Décharge 2018: Agence de l'Union européenne pour la coopération des services répressifs (Europol),DEC,"[""8.70.03.08""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2019/2088(DEC)&l=fr
2023/2816(DEA),2023-07-31,Normes d’information en matière de durabilité,DEA,"[""3.45.02"", ""3.45.03"", ""3.45.01"", ""2.50.10"", ""3.45.08""]",Procédure terminée - acte délégué entre en vigueur,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2816(DEA)&l=fr
2021/2042(INI),2021-04-29,Orientation des relations politiques entre l’UE et la Russie,INI,"[""Russie"", ""Pays"", ""6.40.04.02""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/2042(INI)&l=fr
2022/2038(INI),2022-05-05,Mise en oeuvre de la directive «Services de médias audiovisuels»,INI,"[""3.30.01"", ""3.30.04"", ""8.50.01"", ""3.30.02""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/2038(INI)&l=fr
2018/0224(COD),2018-06-07,Programme-cadre pour la recherche et l’innovation «Horizon Europe» 2021–2027,COD,"[""3.50.02.01"", ""3.50.04""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2018/0224(COD)&l=fr
2020/0126(APP),2020-06-22,Journal officiel de l'Union européenne: publication électronique,APP,"[""8.40.03"", ""8.40.08"", ""8.50"", ""1.20.05""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/0126(APP)&l=fr
2021/0210(COD),2021-07-14,Combustibles maritimes durables («FuelEU Maritime»),COD,"[""3.60.02"", ""3.60.05"", ""3.20.03"", ""3.70.02"", ""3.70.03""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/0210(COD)&l=fr
2019/2192(INI),2019-12-19,Révision des orientations du réseau transeuropéen de transport (RTE-T),INI,"[""3.20.11""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2019/2192(INI)&l=fr
2023/2068(INI),2023-05-11,Extension de la liste des infractions de l'UE aux discours de haine et aux crimes de haine,INI,"[""7.30.30""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2068(INI)&l=fr
2023/2504(RSP),2023-01-18,Résolution sur les conséquences humanitaires du blocus dans le Haut-Karabakh,RSP,"[""Arménie"", ""Pays"", ""6.10.04"", ""Azerbaïdjan""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2504(RSP)&l=fr
2018/0084(NLE),2018-04-11,Accord UE/Brésil: modification de l’accord UE/Brésil visant à exempter les titulaires d’un passeport ordinaire de l’obligation de visa pour les séjours de courte durée,NLE,"[""Brésil"", ""Pays"", ""7.10.04""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2018/0084(NLE)&l=fr
2022/0903(NLE),2022-07-05,Consultation sur les dispositions d’exécution du Médiateur européen,NLE,"[""1.20.04""]",En attente de décision finale,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/0903(NLE)&l=fr
2020/0320(COD),2020-11-11,Centre européen de prévention et de contrôle des maladies,COD,"[""4.20.01""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/0320(COD)&l=fr
2021/0326(BUD),2021-10-08,"Budget rectificatif 6/2021: doses supplémentaires de vaccin en faveur des pays à revenu faible et à revenuintermédiaire de la tranche inférieure, renforcement du MPCU et autres ajustements desdépenses et des recettes",BUD,"[""8.70.51""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/0326(BUD)&l=fr
2023/2001(INI),2023-01-19,Mise en œuvre de l’accord économique et commercial global entre l'Union européenne et le Canada (AECG),INI,"[""Canada"", ""Pays"", ""6.20.03""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2001(INI)&l=fr
2019/0226(NLE),2019-10-17,Accord de partenariat dans le secteur de la pêche UE/Sénégal: mise en œuvre de l'accord. Protocole,NLE,"[""3.15.15.02"", ""Sénégal"", ""Pays""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2019/0226(NLE)&l=fr
2022/2092(DEC),2022-06-23,Décharge 2021: Agence de l’Union européenne pour la coopération des régulateurs de l’énergie (ACER),DEC,"[""8.70.03.11""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/2092(DEC)&l=fr
2022/2852(RSP),2022-10-05,Résolution sur l’adhésion de la Roumanie et de la Bulgarie à l’espace Schengen,RSP,"[""Roumanie"", ""Pays"", ""Bulgarie"", ""7.10.02""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/2852(RSP)&l=fr
2022/2085(DEC),2022-06-23,Décharge 2021: budget général de l'UE - Cour des comptes,DEC,"[""8.70.03.11""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/2085(DEC)&l=fr
2022/2716(RSP),2022-06-22,"Résolution sur le statut de pays candidat de l’Ukraine, de la République de Moldavie et de la Géorgie",RSP,"[""Ukraine"", ""Pays"", ""Moldavie"", ""8.20.01"", ""Géorgie""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/2716(RSP)&l=fr
2020/2051(INL),2020-03-26,Un filet de sécurité pour protéger les bénéficiaires des programmes de l'UE: mise en place d'un plan d'urgence concernant le CFP,INL,"[""8.70.01""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2051(INL)&l=fr
2023/2648(RSP),2023-04-19,"Résolution sur le déni du droit à l’éducation et la répression des militants pour le droit à l’éducation en Afghanistan, y compris le cas de Matiullah Wesa",RSP,"[""4.10.09"", ""Afghanistan"", ""Pays"", ""6.10.08"", ""6.10.09""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2648(RSP)&l=fr
2023/2123(INI),2023-07-12,Banque européenne de l'hydrogène,INI,"[""3.60.05"", ""3.70.03""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2123(INI)&l=fr
2017/0237(COD),2017-09-27,Droits et obligations des voyageurs ferroviaires. Refonte,COD,"[""3.20.02""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2017/0237(COD)&l=fr
2023/3021(RSP),2023-12-13,"Résolution sur la dissolution prévue des principales structures anti-corruption en Slovaquie, et les répercussions sur l’état de droit",RSP,"[""8.30.10"", ""7.30.30.06"", ""Slovaquie"", ""Pays""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/3021(RSP)&l=fr
2020/2078(INI),2020-05-27,Politique économique de la zone euro pour 2020,INI,"[""5.10.01"", ""5.20.02""]",Procédure rejetée  ,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2078(INI)&l=fr
2022/2126(DEC),2022-06-23,Décharge 2021: entreprise commune Aviation propre (CAJU),DEC,"[""8.70.03.11""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/2126(DEC)&l=fr
2017/0123(COD),2017-05-31,Exercice de la profession de transporteur par route et accès au marché du transport international de marchandises par route,COD,"[""4.15.03"", ""3.20.05"", ""3.20.10"", ""4.15.04""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2017/0123(COD)&l=fr
2023/0201R(APP),2023-09-14,Rapport intérimaire sur la proposition de révision à mi-parcours du cadre financier pluriannuel 2021-2027,APP,"[""8.70.02""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/0201R(APP)&l=fr
2023/2109(INI),2023-07-12,Petits réacteurs modulaires,INI,"[""3.60.04""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2109(INI)&l=fr
2023/0143(COD),2023-05-11,Modification de la décision 2009/917/JAI du Conseil en ce qui concerne sa mise en conformité avec les règles de l’Union relatives à la protection des données à caractère personnel,COD,"[""1.20.09""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/0143(COD)&l=fr
2019/0186(APP),2019-09-04,Exécution et le financement du budget général de l’Union en 2020 eu égard au retrait du Royaume-Uni de l’Union,APP,"[""8.70.50"", ""Royaume-Uni"", ""Pays""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2019/0186(APP)&l=fr
2023/2082(INI),2023-06-15,Rapport de mise en œuvre de la stratégie de l’Union en faveur de l’égalité de traitement à l’égard des personnes LGBTIQ pour la période 2020-2025,INI,"[""4.10.08""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2082(INI)&l=fr
2022/0341(COD),2022-10-26,Paiements instantanés en euros,COD,"[""2.50.04.02"", ""5.20.02""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/0341(COD)&l=fr
2018/0250(COD),2018-06-13,Fonds pour la sécurité intérieure 2021–2027,COD,"[""7.30.09""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2018/0250(COD)&l=fr
2023/2840(RSP),2023-09-14,Résolution sur la ségrégation et la discrimination des enfants roms dans l’éducation,RSP,"[""4.10.08"", ""4.10.03"", ""4.40""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2840(RSP)&l=fr
2023/3025(RSP),2023-12-13,Résolution sur l’enlèvement d’enfants tibétains et les pratiques d’assimilation forcée dans des internats chinois au Tibet,RSP,"[""Tibet"", ""Pays"", ""4.10.03""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/3025(RSP)&l=fr
2020/2144(DEC),2020-07-29,Décharge 2019 : Budget général de l'UE - Cour des comptes,DEC,"[""8.70.03.09""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2144(DEC)&l=fr
2020/2075(INI),2020-05-27,L’examen du cadre législatif macroéconomique pour une incidence renforcée sur l’économie réelle européenne et une plus grande transparence de la prise de décisions et de la responsabilité démocratique,INI,"[""5.10.01""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2075(INI)&l=fr
2022/3015(RSP),2023-01-16,Résolution sur le 30e anniversaire du marché unique: célébrer les réalisations et envisager les évolutions futures,RSP,"[""2""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/3015(RSP)&l=fr
2022/0362(NLE),2022-11-10,Accord UE/Seychelles: accès des navires de pêche des Seychelles aux eaux de Mayotte,NLE,"[""Seychelles"", ""Pays"", ""3.15.15.03""]",En attente de décision finale,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/0362(NLE)&l=fr
2020/2125(INI),2020-09-17,Activités du Médiateur européen – rapport annuel 2019,INI,"[""1.20.04""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2125(INI)&l=fr
2021/2543(RSP),2021-02-11,Résolution sur le Rwanda: le cas de Paul Rusesabagina,RSP,"[]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/2543(RSP)&l=fr
